,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1
2,2,2,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,2,0,0,1
3,3,3,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,3,1,0,1
4,1,4,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,2,0,1
5,1,4,0,0,0,0,0,2,1,0,0,1,1,2,1,0,0,1,0,0,0,1,1
6,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
7,4,4,2,1,0,0,0,0,0,0,0,3,1,3,0,0,0,3,1,4,1,1,0
8,1,4,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
9,1,1,3,2,0,0,0,2,2,1,1,1,0,0,1,0,0,4,1,2,0,0,0
10,5,5,2,1,1,0,0,0,0,0,0,3,0,4,1,0,0,1,0,5,1,2,1
11,5,5,2,1,1,0,0,0,3,0,0,3,0,5,1,0,0,1,0,4,0,0,1
12,3,3,1,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,3,2,1,1
13,6,0,0,0,0,0,0,0,0,2,0,4,0,5,1,0,0,5,0,2,0,1,1
14,6,1,0,0,0,0,0,0,0,2,0,4,0,5,1,0,0,2,0,2,0,0,1
15,6,4,3,2,0,0,0,3,4,1,1,1,0,6,1,0,0,4,1,2,2,1,0
16,1,4,0,0,0,0,0,2,0,0,0,1,1,2,1,0,0,1,0,1,2,0,1
17,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0
18,3,3,0,1,0,0,0,0,0,3,2,0,1,2,1,1,0,1,1,1,1,0,1
19,1,4,0,0,0,0,0,2,0,0,0,1,1,7,1,0,0,1,0,4,0,0,1
20,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,1,5,2,0,0
21,6,1,3,2,0,0,0,3,5,1,1,1,0,0,1,0,0,4,1,1,2,1,0
22,3,1,3,2,0,0,0,3,5,1,1,1,0,6,1,0,0,4,1,2,0,1,0
23,4,4,2,1,0,0,0,0,0,1,0,3,1,3,0,0,0,4,1,4,0,0,0
24,1,4,3,2,0,0,0,3,2,1,1,1,0,0,1,0,0,4,1,2,0,0,0
25,1,1,3,2,0,0,0,3,5,1,1,1,0,6,1,0,0,4,1,1,2,0,0
26,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
27,6,4,2,0,1,0,0,0,0,0,0,1,0,5,1,0,0,1,0,6,0,0,1
28,1,1,1,0,0,0,0,2,0,0,0,1,1,7,1,0,0,1,0,0,2,1,1
29,3,4,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,7,1,0,0
30,6,4,2,1,0,0,0,2,0,1,0,3,1,3,0,0,0,3,1,0,0,1,0
31,1,4,3,2,0,0,0,2,4,1,1,1,0,0,1,0,0,4,1,2,0,0,0
32,1,4,2,1,0,0,0,0,2,0,1,3,1,3,0,0,0,3,1,0,0,1,0
33,4,4,2,1,0,0,0,0,2,0,0,3,1,3,0,0,0,3,1,0,1,1,0
34,1,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,6,1,1,1,0,0
35,1,1,0,0,0,0,0,0,2,0,0,1,1,7,1,0,0,1,0,0,2,0,1
36,3,0,3,0,0,0,0,0,0,3,2,1,1,0,1,0,0,4,0,1,1,1,0
37,4,5,4,0,0,1,0,4,6,0,0,3,0,9,1,0,1,1,1,0,1,3,1
38,3,1,3,2,0,0,0,2,2,1,1,1,0,6,1,0,0,4,1,1,0,0,0
39,6,1,3,2,0,0,0,3,4,1,1,1,0,0,1,0,0,4,1,1,2,0,0
40,1,4,2,1,0,0,0,2,2,0,0,3,1,3,0,0,0,3,1,4,1,2,0
41,0,4,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,1,0,0
42,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,5,0,2,1,3,1
43,6,4,2,1,0,0,0,0,2,1,0,3,1,3,0,0,0,3,1,0,1,1,0
44,3,3,0,1,0,0,0,0,0,3,0,0,1,1,1,1,0,1,1,0,1,0,1
45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,1,0,0,0,0,0,2,0,0,0,1,1,2,1,0,0,1,0,4,0,1,1
47,1,4,2,1,0,0,0,0,2,1,1,3,1,3,0,0,0,7,1,0,1,2,0
48,6,1,3,2,0,0,0,5,2,1,1,1,0,0,1,0,0,4,1,1,0,0,0
49,3,4,3,0,0,0,0,0,0,0,0,1,1,6,1,0,0,4,0,7,1,1,0
50,3,0,1,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,3,1,0,1
51,1,1,1,0,0,0,0,1,2,0,0,1,1,5,1,0,0,1,0,1,2,0,1
52,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0
53,2,2,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,5,0,2,1,3,1
54,3,3,0,1,0,0,0,0,0,3,2,0,1,2,1,1,0,1,1,1,2,1,1
55,6,4,3,2,0,0,0,2,5,1,1,1,0,8,1,0,0,4,1,2,2,0,0
56,4,5,5,0,0,1,0,4,6,0,0,3,0,9,1,0,1,1,1,0,1,0,1
57,1,1,3,2,0,0,0,5,5,1,1,1,0,0,1,0,0,4,1,2,2,1,0
58,3,4,3,2,0,0,0,2,4,1,1,1,0,8,1,0,0,4,1,2,0,1,0
59,4,4,6,0,0,2,0,4,6,0,0,3,0,10,1,0,1,1,1,0,1,2,1
60,1,4,3,2,0,0,0,3,4,1,1,1,0,6,1,0,0,4,1,2,2,0,0
61,1,4,0,0,0,0,0,2,2,0,0,1,1,0,1,0,0,1,0,1,2,1,1
62,3,2,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,5,0,3,1,0,1
63,5,5,2,1,1,0,0,0,0,0,0,3,0,5,1,0,0,1,0,0,0,1,1
64,1,1,0,0,0,0,0,0,2,0,0,1,1,7,1,0,0,1,0,1,2,0,1
65,1,4,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,2,1,1
66,1,5,2,3,2,0,0,6,7,2,1,2,0,10,1,0,1,8,1,6,0,1,0
67,3,2,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,5,0,3,0,0,1
68,1,1,3,2,0,0,0,2,4,1,1,1,0,8,1,0,0,4,1,1,2,0,0
69,3,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,3,1,3,1
70,3,0,0,1,0,0,0,0,0,3,0,0,1,1,1,1,0,1,1,3,1,1,1
71,6,4,2,1,0,0,0,2,0,0,1,3,1,3,0,0,0,7,1,0,1,0,0
72,4,4,2,1,0,0,0,0,0,1,0,3,1,3,0,0,0,3,1,4,0,0,0
73,4,4,2,1,0,0,0,0,2,1,1,3,1,3,0,0,0,7,1,0,1,1,0
74,3,0,1,1,0,0,0,0,0,3,0,0,1,6,1,1,0,1,1,3,2,0,1
75,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,3,1,1,1
76,1,4,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,5,0,3,2,0,1
77,3,1,3,2,0,0,0,3,4,1,1,1,0,8,1,0,0,4,1,1,2,1,0
78,1,1,0,0,0,0,0,2,1,0,0,1,1,2,1,0,0,1,0,4,2,0,1
79,3,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,3,0,3,1
80,3,2,2,0,1,0,0,0,0,1,0,3,0,8,1,1,0,1,1,3,2,3,1
81,4,4,2,1,0,0,0,2,2,0,0,3,1,3,0,0,0,4,1,4,1,2,0
82,3,0,0,1,0,0,0,0,0,0,0,0,1,6,1,1,0,1,1,3,1,0,1
83,3,4,3,0,0,0,0,0,0,0,2,1,1,5,1,0,0,4,0,7,1,0,0
84,1,4,2,1,0,0,0,2,0,1,0,3,1,3,0,0,0,4,1,4,0,1,0
85,1,4,0,0,0,0,0,0,2,0,0,1,1,7,1,0,0,1,0,1,2,0,1
86,3,1,1,0,0,0,0,0,0,2,0,4,0,5,1,0,0,2,0,0,0,1,1
87,4,4,2,1,0,0,0,2,2,0,1,3,1,3,0,0,0,3,1,4,1,2,0
88,3,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0,3,1,3,1
89,3,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,0,1,1,1,1,0,1
90,1,4,0,0,0,0,0,1,0,0,0,1,1,7,1,0,0,1,0,0,2,0,1
91,1,4,3,2,0,0,0,2,4,1,1,1,0,6,1,0,0,4,1,1,0,1,0
92,3,0,1,1,0,0,0,0,0,3,2,0,1,0,1,1,0,1,1,1,1,1,1
93,1,4,2,1,0,0,0,2,0,1,1,3,1,3,0,0,0,7,1,0,0,2,0
94,3,4,3,2,0,0,0,3,5,1,1,1,0,8,1,0,0,4,1,2,0,1,0
95,1,4,2,1,0,0,0,0,2,1,1,3,1,3,0,0,0,7,1,4,1,0,0
96,3,0,3,0,0,0,0,0,0,0,0,1,1,6,1,0,0,4,0,7,1,0,0
97,1,4,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,3,2,0,1
98,4,4,6,0,0,1,0,4,6,0,0,3,0,2,1,0,1,1,1,0,1,2,1
99,6,4,2,1,0,0,0,2,2,0,1,3,1,3,0,0,0,7,1,0,1,0,0
100,1,4,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,6,1,3,2,0,0
101,1,4,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,3,2,1,1
102,1,1,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,1,0,1,2,1,1
103,3,0,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,1,1,1,1,0,1
104,5,5,2,1,1,0,0,7,3,0,0,3,0,4,1,0,0,1,0,7,1,1,1
105,3,3,1,1,0,0,0,0,0,3,2,0,1,2,1,1,0,1,1,1,2,1,1
106,6,1,3,2,0,0,0,5,2,1,1,1,0,0,1,0,0,4,1,1,2,1,0
107,1,4,1,0,0,0,0,1,2,0,0,1,1,0,1,0,0,1,0,0,2,0,1
108,1,5,2,3,2,0,0,6,7,2,1,2,0,5,1,0,0,8,1,6,0,0,0
109,1,5,2,3,2,0,0,6,7,2,1,2,0,10,1,0,0,8,1,0,0,1,0
110,6,4,2,1,0,0,0,0,2,0,1,3,1,3,0,0,0,7,1,0,1,0,0
111,6,4,2,1,0,0,0,2,0,0,1,3,1,3,0,0,0,7,1,0,0,2,0
112,1,4,1,0,0,0,0,0,2,0,0,1,1,7,1,0,0,1,0,1,2,1,1
113,3,2,0,0,0,0,0,0,0,0,0,2,0,8,1,0,0,5,0,3,1,3,1
114,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,4,2,1,1
115,1,1,1,0,0,0,0,2,2,0,0,1,1,2,1,0,0,1,0,1,2,1,1
116,4,4,2,1,0,0,0,0,2,1,1,3,1,3,0,0,0,4,1,0,0,2,0
117,3,0,2,0,1,0,0,0,0,1,0,3,0,8,1,1,0,1,1,3,1,2,1
118,6,4,2,1,0,0,0,2,0,0,0,3,1,3,0,0,0,3,1,0,0,2,0
119,2,2,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,2,0,3,1,0,1
120,3,2,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,5,0,2,0,0,1
121,4,4,2,1,0,0,0,2,2,0,0,3,1,3,0,0,0,4,1,4,0,2,0
122,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,0,1
123,1,1,1,0,0,0,0,1,1,0,0,1,1,7,1,0,0,1,0,1,0,0,1
124,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,5,0,2,0,0,1
125,6,4,3,2,0,0,0,5,5,1,1,1,0,0,1,0,0,4,1,1,0,0,0
126,2,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,2,1,3,1
127,3,0,0,1,0,0,0,0,0,3,2,0,1,0,1,1,0,1,1,3,2,1,1
128,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,6,1,1,2,0,0
129,1,4,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,6,1,5,1,0,0
130,6,4,2,1,0,0,0,0,0,0,1,3,1,3,0,0,0,3,1,0,1,0,0
131,6,1,3,2,0,0,0,5,2,1,1,1,0,8,1,0,0,4,1,1,0,1,0
132,3,1,3,2,0,0,0,3,5,1,1,1,0,8,1,0,0,4,1,2,0,0,0
133,1,1,1,0,0,0,0,1,1,0,0,1,1,7,1,0,0,1,0,1,2,1,1
134,5,5,2,1,1,0,0,7,3,0,0,3,0,5,1,0,0,1,0,5,0,1,1
135,6,1,3,2,0,0,0,5,5,1,1,1,0,0,1,0,0,4,1,1,0,1,0
136,1,1,0,0,0,0,0,0,2,0,0,1,1,5,1,0,0,1,0,1,2,0,1
137,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
138,4,4,2,1,0,0,0,0,0,0,1,3,1,3,0,0,0,3,1,4,1,0,0
139,1,1,3,2,0,0,0,3,4,1,1,1,0,6,1,0,0,4,1,2,2,1,0
140,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,6,1,1,2,0,0
141,3,2,2,0,1,0,0,0,0,0,0,3,0,5,1,1,0,1,1,3,2,3,1
142,3,3,1,1,0,0,0,0,0,3,2,0,1,6,1,1,0,1,1,1,1,0,1
143,6,4,2,1,0,0,0,2,2,0,0,3,1,3,0,0,0,4,1,0,0,0,0
144,3,4,3,0,0,0,0,0,0,0,2,1,1,5,1,0,0,4,0,3,1,0,0
145,1,4,2,1,0,0,0,2,0,1,1,3,1,3,0,0,0,3,1,0,1,1,0
146,6,4,2,1,0,0,0,2,2,1,0,3,1,3,0,0,0,7,1,4,1,0,0
147,6,1,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0,5,0,0,0,0,1
148,1,4,2,1,0,0,0,2,2,0,1,3,1,3,0,0,0,7,1,4,0,2,0
149,6,4,3,2,0,0,0,3,4,1,1,1,0,0,1,0,0,4,1,1,2,0,0
150,1,4,1,0,0,0,0,0,0,0,0,1,1,5,0,1,0,5,0,2,2,1,1
151,3,4,3,2,0,0,0,5,4,1,1,1,0,8,1,0,0,4,1,1,2,0,0
152,2,4,8,0,1,0,0,0,0,0,0,1,0,8,1,0,0,1,0,5,1,1,0
153,1,1,3,2,0,0,0,3,2,1,1,1,0,8,1,0,0,4,1,2,0,1,0
154,3,1,3,2,0,0,0,2,2,1,1,1,0,8,1,0,0,4,1,2,0,1,0
155,3,2,2,0,1,0,0,0,0,1,1,3,0,5,1,1,0,1,1,1,2,2,1
156,3,0,2,0,1,0,0,0,0,0,1,3,0,5,1,1,0,1,1,3,2,0,1
157,6,1,3,2,0,0,0,5,2,1,1,1,0,8,1,0,0,4,1,2,2,0,0
158,3,0,1,1,0,0,0,0,0,3,0,0,1,6,1,1,0,1,1,1,2,1,1
159,1,4,0,0,0,0,0,0,2,0,0,1,1,2,1,0,0,1,0,0,2,0,1
160,6,4,2,1,0,0,0,0,2,1,0,3,1,3,0,0,0,3,1,4,0,0,0
161,1,1,3,2,0,0,0,3,2,1,1,1,0,8,1,0,0,4,1,1,0,1,0
162,3,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,5,0,3,1,3,1
163,3,4,3,2,0,0,0,3,5,1,1,1,0,8,1,0,0,4,1,2,2,0,0
164,3,0,1,1,0,0,0,0,0,3,0,0,1,0,1,1,0,1,1,1,2,1,1
165,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,5,2,0,0
166,2,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,0,2,0,2,0,0,1
167,3,0,1,1,0,0,0,0,0,0,0,0,1,6,1,1,0,1,1,0,2,1,1
168,2,2,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,2,0,2,1,0,1
169,3,1,3,2,0,0,0,3,2,1,1,1,0,0,1,0,0,4,1,1,0,0,0
170,5,5,2,1,1,0,0,7,3,0,0,3,0,4,1,0,0,1,0,5,1,2,1
171,4,4,2,1,0,0,0,2,0,1,0,3,1,3,0,0,0,7,1,4,0,1,0
172,3,1,3,2,0,0,0,2,5,1,1,1,0,6,1,0,0,4,1,2,2,0,0
173,1,4,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,0,2,2,0,1
174,4,4,2,1,0,0,0,5,0,3,0,1,0,5,0,1,0,1,1,6,0,0,1
175,3,4,3,2,0,0,0,2,4,1,1,1,0,0,1,0,0,4,1,2,2,0,0
176,1,4,3,2,0,0,0,5,5,1,1,1,0,6,1,0,0,4,1,1,2,1,0
177,1,1,0,0,0,0,0,1,1,0,0,1,1,7,1,0,0,1,0,4,2,1,1
178,3,0,3,0,0,0,0,0,0,3,2,1,1,0,1,0,0,4,0,7,1,1,0
179,3,2,2,0,1,0,0,0,0,0,0,3,0,0,1,1,0,1,1,1,1,0,1
180,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,1
181,1,1,0,0,0,0,0,1,1,0,0,1,1,7,1,0,0,1,0,1,0,1,1
182,4,4,1,0,0,1,0,4,6,0,0,3,0,10,1,0,1,1,1,0,1,3,1
183,1,4,7,0,0,0,0,0,0,0,0,1,1,2,0,1,0,5,0,3,2,1,1
