,0,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1
2,1,2,0,0,2,0,0,1,0
3,1,1,1,2,2,1,2,0,1
4,2,3,0,3,2,1,0,1,0
5,0,2,2,3,2,1,2,2,2
6,2,1,2,3,0,1,1,2,2
7,0,2,0,0,1,1,0,1,3
8,2,0,0,3,0,1,2,1,1
9,1,2,0,3,1,0,1,1,1
10,2,1,3,2,1,0,1,0,1
11,1,1,2,3,1,0,0,0,1
12,2,0,0,1,1,1,2,1,1
13,2,4,2,2,0,1,2,1,0
14,0,4,0,2,1,0,0,0,0
15,0,4,2,2,1,0,0,0,0
16,1,4,0,0,2,0,2,2,2
17,0,0,2,3,1,1,1,0,1
18,0,1,1,1,2,1,2,1,1
19,0,2,1,2,1,1,2,2,2
20,0,3,3,3,2,1,2,2,2
21,2,4,0,2,2,0,1,0,0
22,2,4,1,2,1,1,1,2,2
23,1,3,0,0,1,1,2,1,0
24,0,4,1,2,0,0,0,0,0
25,1,0,2,1,2,1,2,0,1
26,2,0,1,1,2,1,1,1,1
27,1,3,0,2,2,1,2,1,1
28,2,1,3,1,0,0,1,0,1
29,0,4,1,2,0,1,2,0,0
30,1,0,3,2,0,1,0,1,1
31,0,2,2,1,0,0,0,0,0
32,1,2,0,1,0,0,2,1,1
33,1,1,1,1,2,1,1,2,2
34,2,3,2,3,0,1,2,2,2
35,1,4,3,1,2,0,2,2,2
36,2,3,2,0,1,0,2,1,0
37,1,0,2,1,1,0,1,2,2
38,1,2,2,0,2,1,1,1,0
39,1,0,1,1,2,0,1,1,0
40,0,4,2,0,0,0,0,0,0
41,2,3,3,1,1,1,1,1,3
42,2,3,1,0,1,1,1,1,0
43,1,1,1,2,0,0,1,2,2
44,0,1,1,1,0,0,1,2,2
45,2,0,2,0,0,0,2,1,1
46,2,4,3,3,0,0,2,0,0
47,0,1,2,2,0,1,1,2,2
48,0,1,1,3,0,1,1,1,1
49,2,0,3,1,1,1,0,2,2
50,2,2,3,0,1,0,0,1,0
51,0,0,1,2,1,1,1,1,0
52,1,2,2,0,0,0,2,0,1
53,0,3,2,1,2,0,0,2,2
54,1,4,3,3,1,0,1,0,1
55,2,3,0,3,1,0,1,0,0
56,2,0,3,2,1,0,0,0,1
57,2,3,2,1,2,1,1,1,0
58,1,4,0,2,1,0,0,1,0
59,1,2,0,2,1,1,2,2,2
60,1,0,0,1,0,0,0,1,1
61,0,2,0,2,2,1,1,0,0
62,0,2,2,0,1,1,1,1,3
63,0,2,0,1,0,0,1,2,2
64,0,2,0,3,1,1,2,1,0
65,0,0,3,3,0,1,2,0,1
66,0,2,2,2,1,1,2,2,2
67,2,2,1,2,0,1,1,0,1
68,2,2,1,3,1,0,2,0,1
69,0,0,0,1,2,0,1,2,2
70,2,3,1,3,1,1,0,2,2
71,0,3,3,1,0,0,0,0,0
72,2,0,1,3,1,1,1,2,2
73,1,1,3,0,2,0,1,0,1
74,2,1,2,3,0,1,0,1,1
75,1,1,3,2,1,1,0,2,2
76,1,4,2,0,0,1,0,1,0
77,2,0,1,0,0,1,2,0,1
78,1,3,1,1,2,0,1,2,2
79,2,4,3,3,1,1,1,2,2
80,0,0,2,2,1,1,1,2,2
81,1,1,3,2,1,1,1,1,1
82,2,3,1,3,0,0,1,2,2
83,0,4,1,2,1,0,1,2,2
84,0,2,2,1,2,1,0,1,0
85,2,1,0,0,0,1,2,1,1
86,1,3,1,3,0,1,2,1,1
87,2,3,1,2,0,1,0,1,0
88,1,1,1,3,1,1,0,0,1
89,1,3,1,0,0,1,0,0,1
90,0,1,2,1,2,1,0,2,2
91,0,3,3,2,1,0,0,1,0
92,2,3,0,1,2,0,1,2,2
93,1,1,2,2,0,1,2,2,2
94,0,1,1,2,0,0,2,2,2
95,2,3,1,1,0,1,0,1,0
96,2,2,1,0,1,0,2,1,1
97,2,2,2,3,2,0,2,2,2
98,2,2,0,3,2,0,2,0,0
99,0,1,0,3,0,0,2,2,2
100,1,2,3,0,2,1,0,2,2
101,2,1,1,0,0,1,2,0,1
102,0,0,3,3,1,1,2,0,1
103,2,2,1,3,2,0,0,0,0
104,1,1,0,2,1,0,1,1,1
105,0,0,2,0,1,1,1,2,2
106,1,4,0,2,1,1,2,1,1
107,1,1,3,1,2,0,2,0,1
108,2,0,3,2,0,0,0,0,1
109,2,4,2,0,2,1,1,2,2
110,1,0,0,3,2,0,2,1,1
111,1,4,1,2,2,0,0,1,0
112,1,4,0,1,2,1,2,0,0
113,2,3,1,0,0,1,2,2,2
114,0,2,2,0,1,0,1,0,0
115,0,4,2,2,0,1,2,0,0
116,2,3,0,2,2,0,2,2,2
117,1,3,1,2,1,0,1,0,1
118,1,3,1,3,0,1,0,2,2
119,2,3,0,1,1,1,0,1,3
120,0,2,2,2,2,0,0,0,0
121,0,0,3,0,1,1,2,1,0
122,2,4,1,0,2,1,0,0,0
123,1,4,1,3,2,1,0,0,1
124,1,1,3,1,0,1,2,1,1
125,0,2,1,3,0,0,1,0,0
126,2,0,3,2,0,1,0,2,2
127,0,1,1,3,2,0,1,2,2
128,2,0,2,2,1,1,2,1,1
129,0,3,0,2,1,1,1,1,0
130,1,0,1,1,2,0,0,1,0
131,2,3,0,1,1,1,2,0,0
132,2,3,2,3,1,1,0,0,0
133,2,0,3,1,0,1,1,1,1
134,1,3,0,2,1,0,1,1,0
135,0,3,1,1,1,0,1,0,0
136,2,3,0,1,2,1,1,0,0
137,2,4,3,2,0,0,1,0,0
138,0,0,2,1,0,1,0,0,1
139,0,3,2,1,2,1,2,1,0
140,1,0,2,0,2,0,2,1,1
141,1,0,3,2,2,1,0,1,1
142,1,4,3,3,1,1,0,2,2
143,2,1,3,0,2,1,1,1,0
144,1,3,1,0,0,0,0,0,1
145,1,2,1,0,2,0,1,0,1
146,2,2,1,1,2,1,1,2,2
